Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,B365>2.5,B365<2.5
SC0,6/11/2022,12:00,St Johnstone,Rangers,2,1,1.72,2.1
SC0,6/11/2022,15:00,Hearts,Motherwell,3,2,1.8,2
SC0,8/11/2022,19:45,Hibernian,Ross County,0,2,1.95,1.9
SC0,8/11/2022,19:45,Livingston,Aberdeen,2,1,2.2,1.66
SC0,9/11/2022,19:45,Dundee United,Kilmarnock,4,0,2.2,1.66
SC0,9/11/2022,19:45,Motherwell,Celtic,1,2,1.53,2.5
SC0,9/11/2022,19:45,Rangers,Hearts,1,0,1.5,2.62
SC0,9/11/2022,19:45,St Mirren,St Johnstone,2,2,2.3,1.61
SC0,12/11/2022,12:30,St Mirren,Rangers,1,1,1.72,2.1
SC0,12/11/2022,15:00,Celtic,Ross County,2,1,1.33,3.4
SC0,12/11/2022,15:00,Hearts,Livingston,1,1,2,1.85
SC0,12/11/2022,15:00,Kilmarnock,Hibernian,1,0,2.1,1.72
SC0,12/11/2022,15:00,St Johnstone,Motherwell,1,1,2.2,1.66
SC0,12/11/2022,18:00,Aberdeen,Dundee United,1,0,2,1.85
SC0,15/12/2022,20:00,Rangers,Hibernian,3,2,1.57,2.38
SC0,17/12/2022,12:30,Aberdeen,Celtic,0,1,1.5,2.63
SC0,17/12/2022,15:00,Hearts,Kilmarnock,3,1,1.98,1.88
SC0,17/12/2022,15:00,Ross County,St Johnstone,1,2,2.38,1.57
SC0,20/12/2022,20:00,Aberdeen,Rangers,2,3,1.73,2.1
SC0,21/12/2022,19:45,Celtic,Livingston,2,1,1.36,3.2
SC0,23/12/2022,19:30,Ross County,Rangers,0,1,1.5,2.63
SC0,23/12/2022,19:45,Motherwell,Kilmarnock,2,2,2.1,1.73
SC0,24/12/2022,12:30,Celtic,St Johnstone,4,1,1.4,3
SC0,24/12/2022,12:30,St Mirren,Aberdeen,3,1,2.1,1.73
SC0,24/12/2022,14:00,Dundee United,Hearts,2,2,1.85,2
SC0,24/12/2022,14:00,Hibernian,Livingston,4,0,2.1,1.73
SC0,28/12/2022,19:45,Dundee United,Ross County,3,0,2.1,1.73
SC0,28/12/2022,19:45,Kilmarnock,Aberdeen,2,1,2.1,1.73
SC0,28/12/2022,19:45,Livingston,St Mirren,1,1,2.2,1.67
SC0,28/12/2022,19:45,Rangers,Motherwell,3,0,1.53,2.5
SC0,28/12/2022,19:45,St Johnstone,Hearts,2,3,2.02,1.83
SC0,28/12/2022,20:00,Hibernian,Celtic,0,4,1.53,2.5
SC0,2/01/2023,12:30,Rangers,Celtic,2,2,1.67,2.2
SC0,2/01/2023,15:00,Aberdeen,Ross County,0,0,1.95,1.9
SC0,2/01/2023,15:00,Hearts,Hibernian,3,0,1.73,2.1
SC0,2/01/2023,15:00,Kilmarnock,St Mirren,0,0,2.2,1.67
SC0,2/01/2023,15:00,Livingston,Motherwell,1,1,2.1,1.73
SC0,2/01/2023,15:00,St Johnstone,Dundee United,0,1,2.1,1.73
SC0,7/01/2023,15:00,Aberdeen,St Johnstone,2,0,2.02,1.83
SC0,7/01/2023,15:00,Celtic,Kilmarnock,2,0,1.29,3.75
SC0,7/01/2023,15:00,Ross County,Livingston,0,2,2.2,1.67
SC0,7/01/2023,15:00,St Mirren,Hearts,1,1,1.9,1.95
SC0,8/01/2023,13:30,Motherwell,Hibernian,2,3,2.1,1.73
SC0,8/01/2023,16:00,Dundee United,Rangers,0,2,1.57,2.38
SC0,13/01/2023,19:45,Hearts,St Mirren,1,0,1.85,2
SC0,14/01/2023,15:00,Hibernian,Dundee United,2,2,1.95,1.9
SC0,14/01/2023,15:00,Motherwell,Ross County,1,1,2.02,1.83
SC0,14/01/2023,15:00,St Johnstone,Livingston,2,4,2.3,1.62
SC0,18/01/2023,19:45,Celtic,St Mirren,4,0,1.36,3.2
SC0,18/01/2023,19:45,Hearts,Aberdeen,5,0,1.85,2
SC0,18/01/2023,20:00,Kilmarnock,Rangers,2,3,1.62,2.3
SC0,28/01/2023,15:00,Hibernian,Aberdeen,6,0,1.93,1.93
SC0,28/01/2023,15:00,Rangers,St Johnstone,2,0,1.57,2.38
SC0,28/01/2023,15:00,Ross County,Kilmarnock,3,0,2.2,1.67
