Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,B365>2.5,B365<2.5
D1,24/11/2019,17:00,Hoffenheim,Mainz,1,5,1.53,2.5
D1,29/11/2019,19:30,Schalke 04,Union Berlin,2,1,1.72,2.1
D1,30/11/2019,14:30,FC Koln,Augsburg,1,1,1.66,2.2
D1,30/11/2019,14:30,Hertha,Dortmund,1,2,1.61,2.3
D1,30/11/2019,14:30,Hoffenheim,Fortuna Dusseldorf,1,1,1.57,2.37
D1,30/11/2019,14:30,Paderborn,RB Leipzig,2,3,1.3,3.5
D1,30/11/2019,17:30,Bayern Munich,Leverkusen,1,2,1.3,3.5
D1,1/12/2019,14:30,M'gladbach,Freiburg,4,2,1.57,2.37
D1,1/12/2019,17:00,Wolfsburg,Werder Bremen,2,3,1.72,2.1
D1,2/12/2019,19:30,Mainz,Ein Frankfurt,2,1,1.57,2.37
D1,6/12/2019,19:30,Ein Frankfurt,Hertha,2,2,1.57,2.37
D1,7/12/2019,14:30,Augsburg,Mainz,2,1,1.61,2.3
D1,7/12/2019,14:30,Dortmund,Fortuna Dusseldorf,5,0,1.4,3
D1,7/12/2019,14:30,Freiburg,Wolfsburg,1,0,1.9,1.9
D1,7/12/2019,14:30,M'gladbach,Bayern Munich,2,1,1.36,3.2
D1,7/12/2019,14:30,RB Leipzig,Hoffenheim,3,1,1.4,3
D1,7/12/2019,17:30,Leverkusen,Schalke 04,2,1,1.72,2.1
D1,8/12/2019,14:30,Union Berlin,FC Koln,2,0,1.8,2
D1,8/12/2019,17:00,Werder Bremen,Paderborn,0,1,1.33,3.4
D1,13/12/2019,19:30,Hoffenheim,Augsburg,2,4,1.53,2.5
D1,14/12/2019,14:30,Bayern Munich,Werder Bremen,6,1,1.22,4.33
D1,14/12/2019,14:30,FC Koln,Leverkusen,2,0,1.57,2.37
D1,14/12/2019,14:30,Hertha,Freiburg,1,0,1.8,2
D1,14/12/2019,14:30,Mainz,Dortmund,0,4,1.44,2.75
D1,14/12/2019,14:30,Paderborn,Union Berlin,1,1,1.66,2.2
D1,14/12/2019,17:30,Fortuna Dusseldorf,RB Leipzig,0,3,1.44,2.75
D1,15/12/2019,14:30,Wolfsburg,M'gladbach,2,1,1.72,2.1
D1,15/12/2019,17:00,Schalke 04,Ein Frankfurt,1,0,1.66,2.2
D1,17/12/2019,17:30,Werder Bremen,Mainz,0,5,1.4,3
D1,17/12/2019,19:30,Augsburg,Fortuna Dusseldorf,3,0,1.66,2.2
